Country,Year,cause,percentage
Afghanistan,2003,Cardiovascular diseases (%),22.8
Afghanistan,2003,Cancers (%),5.1
Afghanistan,2003,Respiratory diseases (%),2.8
Afghanistan,2003,Diabetes (%),5
Afghanistan,2003,Dementia (%),0.7
Afghanistan,2003,Lower respiratory infections (%),10.3
Afghanistan,2003,Neonatal deaths (%),9.1
Afghanistan,2003,Diarrheal diseases (%),4.1
Afghanistan,2003,Road incidents (%),4.6
Afghanistan,2003,Liver disease (%),1.1
Albania,2003,Cardiovascular diseases (%),53.7
Albania,2003,Cancers (%),18.5
Albania,2003,Respiratory diseases (%),3.8
Albania,2003,Diabetes (%),3.3
Albania,2003,Dementia (%),3
Albania,2003,Lower respiratory infections (%),3.2
Albania,2003,Neonatal deaths (%),1.8
Albania,2003,Diarrheal diseases (%),0.1
Albania,2003,Road incidents (%),1.6
Albania,2003,Liver disease (%),1.3
Algeria,2003,Cardiovascular diseases (%),34
Algeria,2003,Cancers (%),8.6
Algeria,2003,Respiratory diseases (%),3.1
Algeria,2003,Diabetes (%),7
Algeria,2003,Dementia (%),4.3
Algeria,2003,Lower respiratory infections (%),4.2
Algeria,2003,Neonatal deaths (%),10.3
Algeria,2003,Diarrheal diseases (%),0.7
Algeria,2003,Road incidents (%),6.4
Algeria,2003,Liver disease (%),1.7
Angola,2003,Cardiovascular diseases (%),9.2
Angola,2003,Cancers (%),3.8
Angola,2003,Respiratory diseases (%),1.5
Angola,2003,Diabetes (%),1.7
Angola,2003,Dementia (%),0.5
Angola,2003,Lower respiratory infections (%),9.4
Angola,2003,Neonatal deaths (%),8.6
Angola,2003,Diarrheal diseases (%),18.6
Angola,2003,Road incidents (%),2.5
Angola,2003,Liver disease (%),1.5
Antigua and Barbuda,2003,Cardiovascular diseases (%),34.6
Antigua and Barbuda,2003,Cancers (%),18.4
Antigua and Barbuda,2003,Respiratory diseases (%),2
Antigua and Barbuda,2003,Diabetes (%),14.7
Antigua and Barbuda,2003,Dementia (%),4.2
Antigua and Barbuda,2003,Lower respiratory infections (%),5.1
Antigua and Barbuda,2003,Neonatal deaths (%),2.1
Antigua and Barbuda,2003,Diarrheal diseases (%),0.3
Antigua and Barbuda,2003,Road incidents (%),1.5
Antigua and Barbuda,2003,Liver disease (%),2.1
Argentina,2003,Cardiovascular diseases (%),35.3
Argentina,2003,Cancers (%),21.5
Argentina,2003,Respiratory diseases (%),6.1
Argentina,2003,Diabetes (%),7.6
Argentina,2003,Dementia (%),3.6
Argentina,2003,Lower respiratory infections (%),6.8
Argentina,2003,Neonatal deaths (%),1.9
Argentina,2003,Diarrheal diseases (%),0.2
Argentina,2003,Road incidents (%),1.9
Argentina,2003,Liver disease (%),2.1
Armenia,2003,Cardiovascular diseases (%),51.8
Armenia,2003,Cancers (%),18.4
Armenia,2003,Respiratory diseases (%),5
Armenia,2003,Diabetes (%),6.8
Armenia,2003,Dementia (%),2.4
Armenia,2003,Lower respiratory infections (%),1.7
Armenia,2003,Neonatal deaths (%),1.6
Armenia,2003,Diarrheal diseases (%),0.2
Armenia,2003,Road incidents (%),1.3
Armenia,2003,Liver disease (%),2.4
Australia,2003,Cardiovascular diseases (%),36.3
Australia,2003,Cancers (%),28
Australia,2003,Respiratory diseases (%),6
Australia,2003,Diabetes (%),6
Australia,2003,Dementia (%),7.3
Australia,2003,Lower respiratory infections (%),2.3
Australia,2003,Neonatal deaths (%),0.5
Australia,2003,Diarrheal diseases (%),0.1
Australia,2003,Road incidents (%),1.4
Australia,2003,Liver disease (%),1.2
Austria,2003,Cardiovascular diseases (%),43.6
Austria,2003,Cancers (%),24.7
Austria,2003,Respiratory diseases (%),4.2
Austria,2003,Diabetes (%),5.3
Austria,2003,Dementia (%),7.7
Austria,2003,Lower respiratory infections (%),1.2
Austria,2003,Neonatal deaths (%),0.2
Austria,2003,Diarrheal diseases (%),0
Austria,2003,Road incidents (%),1.1
Austria,2003,Liver disease (%),2.7
Azerbaijan,2003,Cardiovascular diseases (%),50.2
Azerbaijan,2003,Cancers (%),12
Azerbaijan,2003,Respiratory diseases (%),3.1
Azerbaijan,2003,Diabetes (%),4.9
Azerbaijan,2003,Dementia (%),1.3
Azerbaijan,2003,Lower respiratory infections (%),6.5
Azerbaijan,2003,Neonatal deaths (%),4
Azerbaijan,2003,Diarrheal diseases (%),0.8
Azerbaijan,2003,Road incidents (%),1.2
Azerbaijan,2003,Liver disease (%),4.4
Bahamas,2003,Cardiovascular diseases (%),31.2
Bahamas,2003,Cancers (%),18.6
Bahamas,2003,Respiratory diseases (%),2.1
Bahamas,2003,Diabetes (%),11.1
Bahamas,2003,Dementia (%),2.4
Bahamas,2003,Lower respiratory infections (%),4.1
Bahamas,2003,Neonatal deaths (%),1.7
Bahamas,2003,Diarrheal diseases (%),0.2
Bahamas,2003,Road incidents (%),2.4
Bahamas,2003,Liver disease (%),2.4
Bahrain,2003,Cardiovascular diseases (%),32
Bahrain,2003,Cancers (%),13.5
Bahrain,2003,Respiratory diseases (%),4.3
Bahrain,2003,Diabetes (%),18.6
Bahrain,2003,Dementia (%),2.9
Bahrain,2003,Lower respiratory infections (%),2.5
Bahrain,2003,Neonatal deaths (%),1.9
Bahrain,2003,Diarrheal diseases (%),0.3
Bahrain,2003,Road incidents (%),5.4
Bahrain,2003,Liver disease (%),1.8
Bangladesh,2003,Cardiovascular diseases (%),23
Bangladesh,2003,Cancers (%),7.5
Bangladesh,2003,Respiratory diseases (%),8
Bangladesh,2003,Diabetes (%),4.9
Bangladesh,2003,Dementia (%),1.2
Bangladesh,2003,Lower respiratory infections (%),8.3
Bangladesh,2003,Neonatal deaths (%),11.4
Bangladesh,2003,Diarrheal diseases (%),5.7
Bangladesh,2003,Road incidents (%),1.5
Bangladesh,2003,Liver disease (%),2.8
Barbados,2003,Cardiovascular diseases (%),31.2
Barbados,2003,Cancers (%),22.2
Barbados,2003,Respiratory diseases (%),2.2
Barbados,2003,Diabetes (%),15.3
Barbados,2003,Dementia (%),4.9
Barbados,2003,Lower respiratory infections (%),6.1
Barbados,2003,Neonatal deaths (%),1.4
Barbados,2003,Diarrheal diseases (%),0.2
Barbados,2003,Road incidents (%),1.4
Barbados,2003,Liver disease (%),1.5
Belarus,2003,Cardiovascular diseases (%),60.3
Belarus,2003,Cancers (%),14.8
Belarus,2003,Respiratory diseases (%),3.7
Belarus,2003,Diabetes (%),1.4
Belarus,2003,Dementia (%),2
Belarus,2003,Lower respiratory infections (%),0.9
Belarus,2003,Neonatal deaths (%),0.3
Belarus,2003,Diarrheal diseases (%),0
Belarus,2003,Road incidents (%),1.8
Belarus,2003,Liver disease (%),1.6
Belgium,2003,Cardiovascular diseases (%),34.1
Belgium,2003,Cancers (%),26.4
Belgium,2003,Respiratory diseases (%),6.7
Belgium,2003,Diabetes (%),4.3
Belgium,2003,Dementia (%),8.7
Belgium,2003,Lower respiratory infections (%),4.5
Belgium,2003,Neonatal deaths (%),0.2
Belgium,2003,Diarrheal diseases (%),0.3
Belgium,2003,Road incidents (%),1.5
Belgium,2003,Liver disease (%),1.7
Belize,2003,Cardiovascular diseases (%),25.1
Belize,2003,Cancers (%),12.6
Belize,2003,Respiratory diseases (%),3.4
Belize,2003,Diabetes (%),11.6
Belize,2003,Dementia (%),1.9
Belize,2003,Lower respiratory infections (%),6.6
Belize,2003,Neonatal deaths (%),6.2
Belize,2003,Diarrheal diseases (%),0.9
Belize,2003,Road incidents (%),4.3
Belize,2003,Liver disease (%),2.6
Benin,2003,Cardiovascular diseases (%),9.7
Benin,2003,Cancers (%),4.9
Benin,2003,Respiratory diseases (%),1.7
Benin,2003,Diabetes (%),3.7
Benin,2003,Dementia (%),0.6
Benin,2003,Lower respiratory infections (%),11
Benin,2003,Neonatal deaths (%),10.6
Benin,2003,Diarrheal diseases (%),10.2
Benin,2003,Road incidents (%),1.8
Benin,2003,Liver disease (%),1.9
Bhutan,2003,Cardiovascular diseases (%),18.7
Bhutan,2003,Cancers (%),6.5
Bhutan,2003,Respiratory diseases (%),7.8
Bhutan,2003,Diabetes (%),5
Bhutan,2003,Dementia (%),1.2
Bhutan,2003,Lower respiratory infections (%),10.6
Bhutan,2003,Neonatal deaths (%),14.9
Bhutan,2003,Diarrheal diseases (%),3.9
Bhutan,2003,Road incidents (%),2.1
Bhutan,2003,Liver disease (%),2.2
Bolivia,2003,Cardiovascular diseases (%),18.8
Bolivia,2003,Cancers (%),13.1
Bolivia,2003,Respiratory diseases (%),3.9
Bolivia,2003,Diabetes (%),7
Bolivia,2003,Dementia (%),1.9
Bolivia,2003,Lower respiratory infections (%),12.8
Bolivia,2003,Neonatal deaths (%),8.3
Bolivia,2003,Diarrheal diseases (%),3.3
Bolivia,2003,Road incidents (%),3.6
Bolivia,2003,Liver disease (%),2.5
Bosnia and Herzegovina,2003,Cardiovascular diseases (%),51.3
Bosnia and Herzegovina,2003,Cancers (%),23.5
Bosnia and Herzegovina,2003,Respiratory diseases (%),3.8
Bosnia and Herzegovina,2003,Diabetes (%),6.3
Bosnia and Herzegovina,2003,Dementia (%),2.9
Bosnia and Herzegovina,2003,Lower respiratory infections (%),1.1
Bosnia and Herzegovina,2003,Neonatal deaths (%),0.5
Bosnia and Herzegovina,2003,Diarrheal diseases (%),0
Bosnia and Herzegovina,2003,Road incidents (%),0.9
Bosnia and Herzegovina,2003,Liver disease (%),1.9
Botswana,2003,Cardiovascular diseases (%),8.3
Botswana,2003,Cancers (%),3.7
Botswana,2003,Respiratory diseases (%),1.9
Botswana,2003,Diabetes (%),3.4
Botswana,2003,Dementia (%),0.4
Botswana,2003,Lower respiratory infections (%),3.3
Botswana,2003,Neonatal deaths (%),2.2
Botswana,2003,Diarrheal diseases (%),2.1
Botswana,2003,Road incidents (%),1.3
Botswana,2003,Liver disease (%),0.5
Brazil,2003,Cardiovascular diseases (%),29.8
Brazil,2003,Cancers (%),15.8
Brazil,2003,Respiratory diseases (%),5.9
Brazil,2003,Diabetes (%),7.1
Brazil,2003,Dementia (%),3.8
Brazil,2003,Lower respiratory infections (%),4.7
Brazil,2003,Neonatal deaths (%),3.8
Brazil,2003,Diarrheal diseases (%),1.1
Brazil,2003,Road incidents (%),4.3
Brazil,2003,Liver disease (%),2.8
Brunei,2003,Cardiovascular diseases (%),28.1
Brunei,2003,Cancers (%),20.8
Brunei,2003,Respiratory diseases (%),6.2
Brunei,2003,Diabetes (%),13.9
Brunei,2003,Dementia (%),3.2
Brunei,2003,Lower respiratory infections (%),3.5
Brunei,2003,Neonatal deaths (%),2.1
Brunei,2003,Diarrheal diseases (%),0.1
Brunei,2003,Road incidents (%),5
Brunei,2003,Liver disease (%),1.1
Bulgaria,2003,Cardiovascular diseases (%),65.3
Bulgaria,2003,Cancers (%),15.1
Bulgaria,2003,Respiratory diseases (%),2.9
Bulgaria,2003,Diabetes (%),3.4
Bulgaria,2003,Dementia (%),2.7
Bulgaria,2003,Lower respiratory infections (%),1.7
Bulgaria,2003,Neonatal deaths (%),0.3
Bulgaria,2003,Diarrheal diseases (%),0
Bulgaria,2003,Road incidents (%),0.9
Bulgaria,2003,Liver disease (%),1.6
Burkina Faso,2003,Cardiovascular diseases (%),7.1
