Country	Year	cause	percentage
Afghanistan	2000	Cardiovascular diseases (%)             	21.4
Afghanistan	2000	Cancers (%)                             	4.6
Afghanistan	2000	Respiratory diseases (%)                	2.6
Afghanistan	2000	Diabetes (%)                            	4.4
Afghanistan	2000	Dementia (%)                            	0.6
Afghanistan	2000	Lower respiratory infections (%)        	8.8
Afghanistan	2000	Neonatal deaths (%)                     	8.4
Afghanistan	2000	Diarrheal diseases (%)                  	3.6
Afghanistan	2000	Road incidents (%)                      	4
Afghanistan	2000	Liver disease (%)                       	1
Afghanistan	2000	Tuberculosis (%)                        	6.5
Afghanistan	2000	Kidney disease (%)                      	1.9
Afghanistan	2000	Digestive diseases (%)                  	1.1
Afghanistan	2000	HIV/AIDS (%)                            	0
Afghanistan	2000	Suicide (%)                             	0.5
Afghanistan	2000	Malaria (%)                             	0.5
Afghanistan	2000	Homicide (%)                            	1.4
Afghanistan	2000	Nutritional deficiencies (%)            	0.3
Afghanistan	2000	Meningitis (%)                          	2.5
Afghanistan	2000	Protein-energy malnutrition (%)         	0.3
Afghanistan	2000	Drowning (%)                            	0.9
Afghanistan	2000	Maternal deaths (%)                     	1.7
Afghanistan	2000	Parkinson disease (%)                   	0
Afghanistan	2000	Alcohol disorders (%)                   	0
Afghanistan	2000	Intestinal infectious diseases (%)      	0.1
Afghanistan	2000	Drug disorders (%)                      	0.1
Afghanistan	2000	Hepatitis (%)                           	0.1
Afghanistan	2000	Fire (%)                                	0.2
Afghanistan	2000	Heat-related (hot and cold exposure) (%)	0.2
Afghanistan	2000	Natural disasters (%)                   	0
Afghanistan	2000	Conflict (%)                            	2167
Afghanistan	2000	Terrorism (%)                           	15
Albania    	2000	Cardiovascular diseases (%)             	49.7
Albania    	2000	Cancers (%)                             	18
Albania    	2000	Respiratory diseases (%)                	4
Albania    	2000	Diabetes (%)                            	3.2
Albania    	2000	Dementia (%)                            	2.9
Albania    	2000	Lower respiratory infections (%)        	4.8
Albania    	2000	Neonatal deaths (%)                     	2.4
Albania    	2000	Diarrheal diseases (%)                  	0.1
Albania    	2000	Road incidents (%)                      	1.6
Albania    	2000	Liver disease (%)                       	1.3
Albania    	2000	Tuberculosis (%)                        	0.1
Albania    	2000	Kidney disease (%)                      	1.7
Albania    	2000	Digestive diseases (%)                  	0.9
Albania    	2000	HIV/AIDS (%)                            	0
Albania    	2000	Suicide (%)                             	1
Albania    	2000	Malaria (%)                             	0
Albania    	2000	Homicide (%)                            	1.5
Albania    	2000	Nutritional deficiencies (%)            	0.1
Albania    	2000	Meningitis (%)                          	0.3
Albania    	2000	Protein-energy malnutrition (%)         	0.1
Albania    	2000	Drowning (%)                            	0.6
Albania    	2000	Maternal deaths (%)                     	0
Albania    	2000	Parkinson disease (%)                   	0.4
Albania    	2000	Alcohol disorders (%)                   	0.1
Albania    	2000	Intestinal infectious diseases (%)      	0
Albania    	2000	Drug disorders (%)                      	0.1
Albania    	2000	Hepatitis (%)                           	0
Albania    	2000	Fire (%)                                	0.1
Albania    	2000	Heat-related (hot and cold exposure) (%)	0
Albania    	2000	Natural disasters (%)                   	0
Albania    	2000	Conflict (%)                            	0
Albania    	2000	Terrorism (%)                           	0
Algeria    	2000	Cardiovascular diseases (%)             	33.4
Algeria    	2000	Cancers (%)                             	8.3
Algeria    	2000	Respiratory diseases (%)                	3
Algeria    	2000	Diabetes (%)                            	6.5
Algeria    	2000	Dementia (%)                            	3.8
Algeria    	2000	Lower respiratory infections (%)        	4.5
Algeria    	2000	Neonatal deaths (%)                     	11.4
Algeria    	2000	Diarrheal diseases (%)                  	0.8
Algeria    	2000	Road incidents (%)                      	6.8
Algeria    	2000	Liver disease (%)                       	1.6
Algeria    	2000	Tuberculosis (%)                        	1.1
Algeria    	2000	Kidney disease (%)                      	2.9
Algeria    	2000	Digestive diseases (%)                  	1.2
Algeria    	2000	HIV/AIDS (%)                            	0.1
Algeria    	2000	Suicide (%)                             	0.8
Algeria    	2000	Malaria (%)                             	0
Algeria    	2000	Homicide (%)                            	0.3
Algeria    	2000	Nutritional deficiencies (%)            	0.1
Algeria    	2000	Meningitis (%)                          	0.4
Algeria    	2000	Protein-energy malnutrition (%)         	0.1
Algeria    	2000	Drowning (%)                            	0.7
Algeria    	2000	Maternal deaths (%)                     	0.8
Algeria    	2000	Parkinson disease (%)                   	0.2
Algeria    	2000	Alcohol disorders (%)                   	0
Algeria    	2000	Intestinal infectious diseases (%)      	0.2
Algeria    	2000	Drug disorders (%)                      	0.1
Algeria    	2000	Hepatitis (%)                           	0.2
Algeria    	2000	Fire (%)                                	0.6
Algeria    	2000	Heat-related (hot and cold exposure) (%)	0.1
Algeria    	2000	Natural disasters (%)                   	0
Algeria    	2000	Conflict (%)                            	469
Algeria    	2000	Terrorism (%)                           	0.4
Angola     	2000	Cardiovascular diseases (%)             	8.7
Angola     	2000	Cancers (%)                             	3.4
Angola     	2000	Respiratory diseases (%)                	1.4
Angola     	2000	Diabetes (%)                            	1.5
Angola     	2000	Dementia (%)                            	0.4
Angola     	2000	Lower respiratory infections (%)        	9.1
Angola     	2000	Neonatal deaths (%)                     	8
Angola     	2000	Diarrheal diseases (%)                  	22.9
Angola     	2000	Road incidents (%)                      	2.3
Angola     	2000	Liver disease (%)                       	1.3
Angola     	2000	Tuberculosis (%)                        	7.9
Angola     	2000	Kidney disease (%)                      	0.3
Angola     	2000	Digestive diseases (%)                  	1.7
Angola     	2000	HIV/AIDS (%)                            	2.8
Angola     	2000	Suicide (%)                             	0.4
Angola     	2000	Malaria (%)                             	3.2
Angola     	2000	Homicide (%)                            	0.3
Angola     	2000	Nutritional deficiencies (%)            	4
Angola     	2000	Meningitis (%)                          	1.8
Angola     	2000	Protein-energy malnutrition (%)         	3.7
Angola     	2000	Drowning (%)                            	1.2
Angola     	2000	Maternal deaths (%)                     	1.3
Angola     	2000	Parkinson disease (%)                   	0
Angola     	2000	Alcohol disorders (%)                   	0.1
Angola     	2000	Intestinal infectious diseases (%)      	0.2
Angola     	2000	Drug disorders (%)                      	0
Angola     	2000	Hepatitis (%)                           	0.2
Angola     	2000	Fire (%)                                	0.5
Angola     	2000	Heat-related (hot and cold exposure) (%)	0.1
Angola     	2000	Natural disasters (%)                   	0
Angola     	2000	Conflict (%)                            	542
Angola     	2000	Terrorism (%)                           	0.1
Antigua and	2000	Cardiovascular diseases (%)             	34.7
Antigua and	2000	Cancers (%)                             	18.3
Antigua and	2000	Respiratory diseases (%)                	2
Antigua and	2000	Diabetes (%)                            	14.3
Antigua and	2000	Dementia (%)                            	3.9
Antigua and	2000	Lower respiratory infections (%)        	4.9
Antigua and	2000	Neonatal deaths (%)                     	2.4
Antigua and	2000	Diarrheal diseases (%)                  	0.4
Antigua and	2000	Road incidents (%)                      	1.3
Antigua and	2000	Liver disease (%)                       	2
Antigua and	2000	Tuberculosis (%)                        	0.1
Antigua and	2000	Kidney disease (%)                      	4
Antigua and	2000	Digestive diseases (%)                  	1.6
Antigua and	2000	HIV/AIDS (%)                            	4.1
Antigua and	2000	Suicide (%)                             	0.4
Antigua and	2000	Malaria (%)                             	0
Antigua and	2000	Homicide (%)                            	0.7
Antigua and	2000	Nutritional deficiencies (%)            	0.7
Antigua and	2000	Meningitis (%)                          	0.3
Antigua and	2000	Protein-energy malnutrition (%)         	0.7
