Country,Year,cause,percentage
Afghanistan,2009,Cardiovascular diseases (%),25.2
Afghanistan,2009,Cancers (%),5.9
Afghanistan,2009,Respiratory diseases (%),3.1
Afghanistan,2009,Diabetes (%),5.9
Afghanistan,2009,Dementia (%),0.8
Afghanistan,2009,Lower respiratory infections (%),8.2
Afghanistan,2009,Neonatal deaths (%),8.2
Afghanistan,2009,Diarrheal diseases (%),2.6
Afghanistan,2009,Road incidents (%),4.9
Afghanistan,2009,Liver disease (%),1.2
Albania,2009,Cardiovascular diseases (%),58.7
Albania,2009,Cancers (%),18.8
Albania,2009,Respiratory diseases (%),3.3
Albania,2009,Diabetes (%),3
Albania,2009,Dementia (%),3.5
Albania,2009,Lower respiratory infections (%),2
Albania,2009,Neonatal deaths (%),1.1
Albania,2009,Diarrheal diseases (%),0
Albania,2009,Road incidents (%),1.3
Albania,2009,Liver disease (%),1.4
Algeria,2009,Cardiovascular diseases (%),36.6
Algeria,2009,Cancers (%),10
Algeria,2009,Respiratory diseases (%),3.2
Algeria,2009,Diabetes (%),8.7
Algeria,2009,Dementia (%),5.5
Algeria,2009,Lower respiratory infections (%),3.9
Algeria,2009,Neonatal deaths (%),7.8
Algeria,2009,Diarrheal diseases (%),0.5
Algeria,2009,Road incidents (%),5.9
Algeria,2009,Liver disease (%),1.9
Angola,2009,Cardiovascular diseases (%),10.5
Angola,2009,Cancers (%),4.8
Angola,2009,Respiratory diseases (%),1.6
Angola,2009,Diabetes (%),2.3
Angola,2009,Dementia (%),0.7
Angola,2009,Lower respiratory infections (%),10.4
Angola,2009,Neonatal deaths (%),9.8
Angola,2009,Diarrheal diseases (%),12.2
Angola,2009,Road incidents (%),3.1
Angola,2009,Liver disease (%),1.9
Antigua and Barbuda,2009,Cardiovascular diseases (%),33.9
Antigua and Barbuda,2009,Cancers (%),19.1
Antigua and Barbuda,2009,Respiratory diseases (%),1.8
Antigua and Barbuda,2009,Diabetes (%),15.1
Antigua and Barbuda,2009,Dementia (%),4.5
Antigua and Barbuda,2009,Lower respiratory infections (%),5.1
Antigua and Barbuda,2009,Neonatal deaths (%),1.5
Antigua and Barbuda,2009,Diarrheal diseases (%),0.3
Antigua and Barbuda,2009,Road incidents (%),1.7
Antigua and Barbuda,2009,Liver disease (%),2.2
Argentina,2009,Cardiovascular diseases (%),34.1
Argentina,2009,Cancers (%),21.6
Argentina,2009,Respiratory diseases (%),6.2
Argentina,2009,Diabetes (%),7.8
Argentina,2009,Dementia (%),4.1
Argentina,2009,Lower respiratory infections (%),8.1
Argentina,2009,Neonatal deaths (%),1.4
Argentina,2009,Diarrheal diseases (%),0.2
Argentina,2009,Road incidents (%),2
Argentina,2009,Liver disease (%),2.2
Armenia,2009,Cardiovascular diseases (%),49.8
Armenia,2009,Cancers (%),19.5
Armenia,2009,Respiratory diseases (%),4.6
Armenia,2009,Diabetes (%),7.8
Armenia,2009,Dementia (%),2.8
Armenia,2009,Lower respiratory infections (%),1.7
Armenia,2009,Neonatal deaths (%),1
Armenia,2009,Diarrheal diseases (%),0.1
Armenia,2009,Road incidents (%),1.1
Armenia,2009,Liver disease (%),3.6
Australia,2009,Cardiovascular diseases (%),32.9
Australia,2009,Cancers (%),29.2
Australia,2009,Respiratory diseases (%),6
Australia,2009,Diabetes (%),6.6
Australia,2009,Dementia (%),8.4
Australia,2009,Lower respiratory infections (%),2.4
Australia,2009,Neonatal deaths (%),0.4
Australia,2009,Diarrheal diseases (%),0.1
Australia,2009,Road incidents (%),1.2
Australia,2009,Liver disease (%),1.3
Austria,2009,Cardiovascular diseases (%),40.5
Austria,2009,Cancers (%),25.3
Austria,2009,Respiratory diseases (%),4.1
Austria,2009,Diabetes (%),7
Austria,2009,Dementia (%),8.8
Austria,2009,Lower respiratory infections (%),1
Austria,2009,Neonatal deaths (%),0.2
Austria,2009,Diarrheal diseases (%),0.1
Austria,2009,Road incidents (%),0.8
Austria,2009,Liver disease (%),2.5
Azerbaijan,2009,Cardiovascular diseases (%),51.8
Azerbaijan,2009,Cancers (%),12.2
Azerbaijan,2009,Respiratory diseases (%),3.3
Azerbaijan,2009,Diabetes (%),5.1
Azerbaijan,2009,Dementia (%),1.5
Azerbaijan,2009,Lower respiratory infections (%),5.4
Azerbaijan,2009,Neonatal deaths (%),4.2
Azerbaijan,2009,Diarrheal diseases (%),0.4
Azerbaijan,2009,Road incidents (%),1.1
Azerbaijan,2009,Liver disease (%),4.7
Bahamas,2009,Cardiovascular diseases (%),32.1
Bahamas,2009,Cancers (%),19.5
Bahamas,2009,Respiratory diseases (%),1.9
Bahamas,2009,Diabetes (%),11.6
Bahamas,2009,Dementia (%),2.8
Bahamas,2009,Lower respiratory infections (%),4.2
Bahamas,2009,Neonatal deaths (%),1.6
Bahamas,2009,Diarrheal diseases (%),0.2
Bahamas,2009,Road incidents (%),2.8
Bahamas,2009,Liver disease (%),2.3
Bahrain,2009,Cardiovascular diseases (%),28.3
Bahrain,2009,Cancers (%),15
Bahrain,2009,Respiratory diseases (%),3.8
Bahrain,2009,Diabetes (%),20.8
Bahrain,2009,Dementia (%),3.1
Bahrain,2009,Lower respiratory infections (%),2.7
Bahrain,2009,Neonatal deaths (%),1.8
Bahrain,2009,Diarrheal diseases (%),0.3
Bahrain,2009,Road incidents (%),5.4
Bahrain,2009,Liver disease (%),2
Bangladesh,2009,Cardiovascular diseases (%),29.7
Bangladesh,2009,Cancers (%),8.6
Bangladesh,2009,Respiratory diseases (%),8.5
Bangladesh,2009,Diabetes (%),5.5
Bangladesh,2009,Dementia (%),1.6
Bangladesh,2009,Lower respiratory infections (%),6
