name	year_span	population	id
Sierra Leone	2000 - 2005	21.40	SLE
Central African Republic	2000 - 2005	19.60	CAF
Chad	2000 - 2005	17.50	TCD
Lesotho	2000 - 2005	17.40	LSO
Nigeria	2000 - 2005	17.30	NGA
Côte d'Ivoire	2000 - 2005	17.00	CIV
Zimbabwe	2000 - 2005	16.90	ZWE
Mali	2000 - 2005	16.70	MLI
Niger	2000 - 2005	16.00	NER
Russia	2000 - 2005	16.00	RUS
Ukraine	2000 - 2005	15.90	UKR
Angola	2000 - 2005	15.70	AGO
Malawi	2000 - 2005	15.60	MWI
Swaziland	2000 - 2005	15.60	SWZ
Zambia	2000 - 2005	15.60	ZMB
Belarus	2000 - 2005	15.40	BLR
Mozambique	2000 - 2005	15.40	MOZ
Guinea	2000 - 2005	15.00	GIN
Somalia	2000 - 2005	14.90	SOM
Democratic Republic of Congo	2000 - 2005	14.70	COD
Botswana	2000 - 2005	14.60	BWA
Burkina Faso	2000 - 2005	14.60	BFA
Bulgaria	2000 - 2005	14.40	BGR
Rwanda	2000 - 2005	14.20	RWA
Cameroon	2000 - 2005	14.10	CMR
Latvia	2000 - 2005	14.10	LVA
Uganda	2000 - 2005	14.00	UGA
Liberia	2000 - 2005	13.90	LBR
Burundi	2000 - 2005	13.80	BDI
Congo	2000 - 2005	13.80	COG
Guinea-Bissau	2000 - 2005	13.60	GNB
Estonia	2000 - 2005	13.30	EST
South Africa	2000 - 2005	13.30	ZAF
Hungary	2000 - 2005	13.20	HUN
Ethiopia	2000 - 2005	12.70	ETH
Lithuania	2000 - 2005	12.40	LTU
Togo	2000 - 2005	12.40	TGO
Benin	2000 - 2005	12.10	BEN
Romania	2000 - 2005	12.10	ROU
Tanzania	2000 - 2005	12.10	TZA
Kenya	2000 - 2005	11.90	KEN
Namibia	2000 - 2005	11.90	NAM
Serbia	2000 - 2005	11.80	SRB
Moldova	2000 - 2005	11.70	MDA
Croatia	2000 - 2005	11.60	HRV
Gabon	2000 - 2005	11.20	GAB
Afghanistan	2000 - 2005	11.00	AFG
Gambia	2000 - 2005	10.90	GMB
Kazakhstan	2000 - 2005	10.80	KAZ
Czech Republic	2000 - 2005	10.70	CZE
Denmark	2000 - 2005	10.70	DNK
Haiti	2000 - 2005	10.60	HTI
Eritrea	2000 - 2005	10.50	ERI
Ghana	2000 - 2005	10.50	GHA
Sweden	2000 - 2005	10.50	SWE
Germany	2000 - 2005	10.30	DEU
Barbados	2000 - 2005	10.20	BRB
Belgium	2000 - 2005	10.20	BEL
Djibouti	2000 - 2005	10.20	DJI
Portugal	2000 - 2005	10.20	PRT
United Kingdom	2000 - 2005	10.20	GBR
Georgia	2000 - 2005	10.10	GEO
Montenegro	2000 - 2005	10.00	MNE
Senegal	2000 - 2005	10.00	SEN
Sudan	2000 - 2005	9.80	SDN
Italy	2000 - 2005	9.70	ITA
Slovakia	2000 - 2005	9.70	SVK
Norway	2000 - 2005	9.50	NOR
Slovenia	2000 - 2005	9.50	SVN
Austria	2000 - 2005	9.40	AUT
Bolivia	2000 - 2005	9.40	BOL
Comoros	2000 - 2005	9.40	COM
Finland	2000 - 2005	9.40	FIN
Mauritania	2000 - 2005	9.40	MRT
Poland	2000 - 2005	9.40	POL
Uruguay	2000 - 2005	9.40	URY
Madagascar	2000 - 2005	9.20	MDG
Greece	2000 - 2005	9.10	GRC
France	2000 - 2005	9.00	FRA
Laos	2000 - 2005	9.00	LAO
Myanmar	2000 - 2005	8.90	MMR
Spain	2000 - 2005	8.80	ESP
Armenia	2000 - 2005	8.70	ARM
Netherlands	2000 - 2005	8.70	NLD
Sao Tome and Principe	2000 - 2005	8.70	STP
Luxembourg	2000 - 2005	8.60	LUX
Yemen	2000 - 2005	8.60	YEM
Macedonia	2000 - 2005	8.50	MKD
Switzerland	2000 - 2005	8.50	CHE
United States	2000 - 2005	8.50	USA
Bosnia and Herzegovina	2000 - 2005	8.40	BIH
India	2000 - 2005	8.40	IND
Pakistan	2000 - 2005	8.40	PAK
Cambodia	2000 - 2005	8.30	KHM
North Korea	2000 - 2005	8.30	PRK
Trinidad and Tobago	2000 - 2005	8.30	TTO
Grenada	2000 - 2005	8.10	GRD
Timor	2000 - 2005	8.10	TLS
Papua New Guinea	2000 - 2005	8.00	PNG
Puerto Rico	2000 - 2005	8.00	PRI
Japan	2000 - 2005	7.90	JPN
Argentina	2000 - 2005	7.80	ARG
Nepal	2000 - 2005	7.80	NPL
Guyana	2000 - 2005	7.70	GUY
Malta	2000 - 2005	7.70	MLT
Turkmenistan	2000 - 2005	7.70	TKM
Bhutan	2000 - 2005	7.60	BTN
Kyrgyzstan	2000 - 2005	7.50	KGZ
Saint Vincent and the Grenadines	2000 - 2005	7.50	VCT
Suriname	2000 - 2005	7.50	SUR
Indonesia	2000 - 2005	7.40	IDN
Azerbaijan	2000 - 2005	7.30	AZE
Ireland	2000 - 2005	7.30	IRL
Kiribati	2000 - 2005	7.30	KIR
Canada	2000 - 2005	7.20	CAN
Cuba	2000 - 2005	7.20	CUB
Jamaica	2000 - 2005	7.20	JAM
Mongolia	2000 - 2005	7.20	MNG
Saint Lucia	2000 - 2005	7.20	LCA
Seychelles	2000 - 2005	7.20	SYC
New Zealand	2000 - 2005	7.10	NZL
Thailand	2000 - 2005	7.00	THA
Solomon Islands	2000 - 2005	6.90	SLB
Cyprus	2000 - 2005	6.80	CYP
Australia	2000 - 2005	6.70	AUS
El Salvador	2000 - 2005	6.70	SLV
Mauritius	2000 - 2005	6.70	MUS
Bangladesh	2000 - 2005	6.50	BGD
Egypt	2000 - 2005	6.40	EGY
Micronesia	2000 - 2005	6.40	FSM
Tajikistan	2000 - 2005	6.40	TJK
United States Virgin Islands	2000 - 2005	6.40	VIR
Uzbekistan	2000 - 2005	6.40	UZB
China	2000 - 2005	6.30	CHN
Iceland	2000 - 2005	6.30	ISL
Antigua and Barbuda	2000 - 2005	6.20	ATG
Fiji	2000 - 2005	6.20	FJI
Tonga	2000 - 2005	6.20	TON
Turkey	2000 - 2005	6.20	TUR
Morocco	2000 - 2005	6.10	MAR
Sri Lanka	2000 - 2005	6.10	LKA
Dominican Republic	2000 - 2005	6.00	DOM
